Name,Mw,Omega,Tc,Pc,Vc,Zc,Tm,Tb,Ttr,Ptr,Vliq,SolPar,,,,,,,,,,,,,,,,,
DIMETHYL,ISOPHTHALATE,"194,187","0,6247",764,"27,535","0,539","0,237","340,85","555,15","340,85","2,73E-04","2,2302","19,5431",,,,,,,,,,,,,,,,
DIMETHYL,PHTHALATE,"194,187","0,6473",766,"27,436","0,53","0,231","272,15","556,85","272,15","2,49E-07","2,7997","20,675",,,,,,,,,,,,,,,,
DIMETHYL,TEREPHTHALATE,"194,187","0,6371",772,"27,436","0,529","0,229","413,8","561,15","413,8","1,24E-02","2,1882","17,7095",,,,,,,,,,,,,,,,
n-PROPYL,BENZOATE,"164,204","0,5189",710,"28,127","0,502","0,242","221,55","504,15","221,55","5,42E-09","1,8195","19,3126",,,,,,,,,,,,,,,,
n-BUTYL,BENZOATE,"178,231","0,5754",724,"25,561","0,555","0,239","251,65","523,15","251,65","4,10E-07",0,"18,2889",,,,,,,,,,,,,,,,
DIETHYL,PHTHALATE,"222,241","0,7626",757,"22,995","0,635","0,235","269,15","567,15","269,15","1,35E-08","2,8997","20,2072",,,,,,,,,,,,,,,,
BENZYL,BENZOATE,"212,248","0,6225",820,"25,463","0,694","0,263","292,55","596,65","292,55","1,54E-07",0,"20,4527",,,,,,,,,,,,,,,,
DIPROPYL,PHTHALATE,"250,295","0,8547",768,"19,64","0,789","0,246","242,15","590,65","242,15","1,98E-11","2,8387","19,6269",,,,,,,,,,,,,,,,
DIBUTYL,PHTHALATE,"278,348","0,9569",781,"17,271","0,846","0,228","238,15","613,15","238,15","1,25E-12","2,8207","18,9756",,,,,,,,,,,,,,,,
DIISOBUTYL,PHTHALATE,"278,348","0,9158",762,"17,567","0,891","0,25","223,15","593,15","223,15","8,91E-14",0,"18,4638",,,,,,,,,,,,,,,,
DIISOOCTYL,PHTHALATE,"390,563","1,088",851,"11,646","1,24","0,237",0,694,0,"0,00E+00",0,"17,223",,,,,,,,,,,,,,,,
DIOCTYL,PHTHALATE,"390,563","1,142",806,"11,646","1,27","0,224","223,15","657,15","223,15","2,69E-18","2,8387","16,9798",,,,,,,,,,,,,,,,
DIOCTYL,TEREPHTHALATE,"390,563","1,0895",855,"11,448","1,44","0,235",0,698,0,"0,00E+00","2,539","18,7022",,,,,,,,,,,,,,,,
DIISODECYL,PHTHALATE,"446,671","1,14",908,"9,869","1,73","0,229","227,59",740,"227,59","2,96E-15",0,"17,0531",,,,,,,,,,,,,,,,
DIMETHYL,ETHER,"46,069","0,2002","400,1","52,998","0,17","0,2744","131,66","248,31","131,65","3,01E-05","1,301","15,1229",,,,,,,,,,,,,,,,
METHYL,VINYL,ETHER,"58,08","0,2416",437,"46,089","0,21","0,27","151,15","278,65","151,15","2,57","1,1091","17,1349",,,,,,,,,,,,,,,
METHYL,ETHYL,ETHER,"60,096","0,2222","437,8","43,425","0,221","0,267",160,"280,5",160,"2,594","1,229","15,37",,,,,,,,,,,,,,,
DIVINYL,ETHER,"70,091","0,2911",463,"41,944","0,25","0,276","172,05","301,45","172,05","8,77E-05","1,0699","15,9805",,,,,,,,,,,,,,,,
ETHYL,VINYL,ETHER,"72,107","0,2665","475,15","40,168","0,263","0,271","157,35","308,7","157,35","2,94","0,9802","16,1769",,,,,,,,,,,,,,,
DIETHYL,ETHER,"74,123","0,2811","466,7","35,924","0,28","0,263","156,85","307,58","156,85","3,90E-06","1,1511","15,4225",,,,,,,,,,,,,,,,
METHYL,ISOPROPYL,ETHER,"74,123","0,279","464,5","38,293","0,276","0,277","127,93","303,92","127,93","3,125",0,"15,3177",,,,,,,,,,,,,,,
METHYL-n-PROPYL,ETHER,"74,123","0,2656","476,3","37,404","0,276","0,264","133,97","312,2","133,97","4,82E-08","1,241","15,6579",,,,,,,,,,,,,,,,
ETHYL,ISOPROPYL,ETHER,"88,15","0,3056",489,"33,654","0,329","0,276",140,"326,15",140,"3,585","1,25","14,9589",,,,,,,,,,,,,,,
ETHYL,PROPYL,ETHER,"88,15","0,3462","500,23","33,26","0,339","0,275","145,65","337,01","145,65","3,47","1,1599","15,4105",,,,,,,,,,,,,,,
METHYL-n-BUTYL,ETHER,"88,15","0,3393",510,"32,963","0,329","0,259","157,48","343,35","157,48","1,92E-07","1,25","15,8345",,,,,,,,,,,,,,,,
METHYL,sec-BUTYL,ETHER,"88,15","0,3062",498,"33,654","0,329","0,271",0,"332,15",0,"3,463",0,"15,4452",,,,,,,,,,,,,,,
METHYL,tert-BUTYL,ETHER,"88,15","0,2661","497,1","33,851","0,329","0,273","164,55","328,35","164,55","3,179","1,3609","15,0742",,,,,,,,,,,,,,,
METHYL,ISOBUTYL,ETHER,"88,15","0,3101",497,"33,654","0,329","0,272",0,"331,7",0,"3,608",0,"15,0777",,,,,,,,,,,,,,,
BUTYL,VINYL,ETHER,"100,161","0,3802",536,"30,792","0,364","0,255","181,15","366,97","181,15","3,806","1,2499","16,4617",,,,,,,,,,,,,,,
n-BUTYL,ETHYL,ETHER,"102,177","0,3854",531,"29,509","0,382","0,259","170,15","365,35","170,15","3,9","1,22","15,7012",,,,,,,,,,,,,,,
tert-BUTYL,ETHYL,ETHER,"102,177","0,2957",514,"30,002","0,382","0,272","179,15","345,95","179,15","3,825",0,"14,8009",,,,,,,,,,,,,,,
DIISOPROPYL,ETHER,"102,177","0,3387","500,05","28,423","0,386","0,267","187,65","341,45","187,65","6,77E-05","1,1301","14,4509",,,,,,,,,,,,,,,,
DI-n-PROPYL,ETHER,"102,177","0,3688","530,6","29,884","0,382","0,262","149,95","363,23","149,95","7,53E-09","1,211","15,5547",,,,,,,,,,,,,,,,
METHYL-n-PENTYL,ETHER,"102,177","0,3886",541,"29,509","0,382","0,254","148,15",372,"148,15","1,11E-09","1,241","15,9586",,,,,,,,,,,,,,,,
METHYL,tert-PENTYL,ETHER,"102,177","0,2975",534,"30,002","0,382","0,262",0,"359,45",0,"3,465",0,"15,4418",,,,,,,,,,,,,,,
ETHYL-tert,PENTYL,ETHER,"116,203","0,3529",544,"27,042","0,435","0,264",190,"374,15",190,"4,071","1,5408","15,0316",,,,,,,,,,,,,,,
DI-n-BUTYL,ETHER,"130,23","0,4665",581,"24,278","0,487","0,248","177,95","413,44","177,95","9,16E-09","1,1691","15,7465",,,,,,,,,,,,,,,,
DI-sec-BUTYL,ETHER,"130,23","0,4319",559,"24,969","0,494","0,269","173,15","394,2","173,15","2,75E-08",0,"14,9526",,,,,,,,,,,,,,,,
DI-tert-BUTYL,ETHER,"130,23","0,3459",550,"24,969","0,487","0,269",195,"380,4",195,"7,54E-06",0,"14,2774",,,,,,,,,,,,,,,,
DIISOBUTYL,ETHER,"130,23","0,4243",562,"24,18","0,487","0,264","173,15","395,76","173,15","2,22E-08","1,25","14,8823",,,,,,,,,,,,,,,,
ETHYL-n-HEXYL,ETHER,"130,23","0,4944",583,"24,278","0,487","0,247",180,"417,15",180,"7,50E-09","1,211","16,2605",,,,,,,,,,,,,,,,
DI-n-PENTYL,ETHER,"158,284","0,6012",622,"20,627","0,593","0,24","203,72","459,9","203,72","5,23E-08","1,199","15,4803",,,,,,,,,,,,,,,,
DI-n-HEXYL,ETHER,"186,338","0,7105",658,"17,923","0,698","0,232","230,15","498,85","230,15","1,54E-08",0,"16,4664",,,,,,,,,,,,,,,,
DI-n-OCTYL,ETHER,"242,445","0,9336",707,"14,212","0,91","0,223","265,55","559,65","265,55","8,90E-09",0,"16,5054",,,,,,,,,,,,,,,,
DINONYL,ETHER,"270,499","1,0021",736,"12,83","1,02","0,217",0,591,0,"0,00E+00",0,0,,,,,,,,,,,,,,,,
METHYLAL,"76,095","0,2856","480,6","38,983","0,213","0,211","168,35",315,"168,35","1,12E-05","8,91E-02","17,4253",,,,,,,,,,,,,,,,,
"1,2-DIMETHOXYETHANE","90,122","0,3462","536,15","38,2","0,2706","0,235","215,15","357,2","215,15","3,10E-04","1,05E-01","17,6742",,,,,,,,,,,,,,,,,
ETHYLAL,"104,149","0,4297",524,"32,371","0,349","0,263","206,65","360,65","206,65","1,02E-04","1,26E-01","16,1818",,,,,,,,,,,,,,,,,
PARALDEHYDE,"132,159","0,4368",579,"34,542","0,365","0,265","285,75","397,15","285,75","6,55E-03","1,34E-01","17,7283",,,,,,,,,,,,,,,,,
ACETAL,"118,176","0,4473",541,"29,41","0,402","0,266","173,15","377,35","173,15","1,43E-07","1,44E-01","15,8142",,,,,,,,,,,,,,,,,
"1,2-DIETHOXYETHANE","118,176","0,4818",561,"28,917","0,402","0,253","199,15","394,55","199,15","1,07E-06","1,41E-01","17,0045",,,,,,,,,,,,,,,,,
DIETHYLENE,GLYCOL,DIMETHYL,ETHER,"134,175","0,5775",608,"28,226","0,422","0,239","209,11","435,65","5,03E+02","4,413","1,9698","18,6724",,,,,,,,,,,,,,
ANISOLE,"108,14","0,3502","645,6","41,944","0,337","0,267","235,65","426,73","235,65","2,41E-05","1,09E-01","20,1055",,,,,,,,,,,,,,,,,
PHENETOLE,"122,167","0,4179","647,15","33,753","0,39","0,248","243,63","443,15","243,63","1,75E-05","1,27E-01","19,4483",,,,,,,,,,,,,,,,,
DIETHYLENE,GLYCOL,DIETHYL,ETHER,"162,229","0,6807",624,"23,39","0,558","0,255","228,85","462,15","5,85E+02","5,511",0,"17,6513",,,,,,,,,,,,,,
TRIETHYLENE,GLYCOL,DIMETHYL,ETHER,"178,229","0,7915",651,"22,798","0,548","0,234","229,35","489,15","6,22E+02","5,414","2,2392","19,175",,,,,,,,,,,,,,
BENZYL,ETHYL,ETHER,"136,194","0,4332",662,"30,693","0,442","0,25","275,65","458,15","275,65","4,581",0,"18,3088",,,,,,,,,,,,,,,
ANETHOLE,"148,205","0,4846",723,"28,621","0,482","0,233","294,5","508,45","294,5","5,38E-05","1,51E-01","19,8804",,,,,,,,,,,,,,,,,
TETRAETHYLENE,GLYCOL,DIMETHYL,ETHER,"222,282","0,9652",705,"19,146","0,674","0,223","243,45","548,95","7,30E+02","6,277","2,47","18,0673",,,,,,,,,,,,,,
DIPHENYL,ETHER,"170,211","0,4389","766,8","30,397","0,503","0,243","300,03","531,46","300,03","6,99E-05","1,1601","18,739",,,,,,,,,,,,,,,,
DIETHYLENE,GLYCOL,DI-n-BUTYL,ETHER,"218,337","0,8455",680,"17,37","0,803","0,25","212,95","529,15","7,43E+02","6,449",0,"15,4443",,,,,,,,,,,,,,
DIBENZYL,ETHER,"198,265","0,5908",777,"25,265","0,634","0,251","276,75","561,45","276,75","1,27E-07","1,3899","19,6494",,,,,,,,,,,,,,,,
ETHYLENE,OXIDE,"44,053","0,1974","469,15","70,96","0,1403","0,2588","160,65","283,6","160,65","7,69E-05","1,8885","21,718",,,,,,,,,,,,,,,,
"1,2-PROPYLENE",OXIDE,"58,08","0,2683","482,25","48,557","0,186","0,228","161,22","307,65","161,22","9,53E-06","2,0084","19,0415",,,,,,,,,,,,,,,,
"1,3-PROPYLENE",OXIDE,"58,08","0,2005",520,"56,748","0,188","0,25",0,321,0,"0,00E+00","1,9298","20,4797",,,,,,,,,,,,,,,,
TRIOXANE,"90,079","0,3337",604,"57,439","0,224","0,26","334,65","387,65","334,65","1,42E-01","7,67E-02","22,2672",,,,,,,,,,,,,,,,,
FURAN,"68,075","0,2015","490,15","54,281","0,218","0,294","187,55","304,5","187,55","4,94E-04","7,31E-02","18,5153",,,,,,,,,,,,,,,,,
"2,5-DIHYDROFURAN","70,091","0,2292",542,"54,281","0,216","0,264",0,339,0,"0,00E+00","7,47E-02","20,0791",,,,,,,,,,,,,,,,,
"1,2-EPOXYBUTANE","72,107","0,2348",526,"43,326","0,258","0,259","123,15","336,574","123,15","2,85E-10","8,75E-02","18,1196",,,,,,,,,,,,,,,,,
"1,2-EPOXY-2-METHYLPROPANE","72,107","0,1709",521,"45,991","0,339","0,365",0,"324,65",0,"0,00E+00","8,94E-02","16,9964",,,,,,,,,,,,,,,,,
TETRAHYDROFURAN,"72,107","0,2254","540,15","51,221","0,224","0,259","164,65","339,12","164,65","1,93E-06","8,19E-02","18,9715",,,,,,,,,,,,,,,,,
"1,3-DIOXANE","88,106","0,2891",590,"50,827","0,239","0,251","228,15","378,15","228,15","2,57E-04","8,57E-02","20,6721",,,,,,,,,,,,,,,,,
"1,4-DIOXANE","88,106","0,2793",587,"51,4","0,238","0,254","284,95","374,47","284,95","2,50E-02","8,57E-02","20,5354",,,,,,,,,,,,,,,,,
2-METHYLBENZOFURAN,"132,162","0,3742",698,"35,924","0,405","0,254",0,"470,65",0,"0,00E+00","1,26E-01","20,1309",,,,,,,,,,,,,,,,,
DIBENZOFURAN,"168,195","0,2753","837,8","31,582","0,533","0,245","355,65","557,86","355,65","2,06E-03","1,52E-01","18,2311",,,,,,,,,,,,,,,,,
t-BUTYL,HYDROPEROXIDE,"90,122","0,6623",552,"42,832","0,29","0,274","277,45","388,15","277,45","2,60E-03","1,8098","21,6911",,,,,,,,,,,,,,,,
CYCLOHEXYL,PEROXIDE,"116,16","0,7571",685,"41,549","0,356","0,263","253,15",490,"253,15","1,45E-07",0,"24,6882",,,,,,,,,,,,,,,,
ETHYLBENZENE,HYDROPEROXIDE,"138,166","0,813",737,"37,404","0,416","0,257",0,536,0,"0,00E+00",0,"24,8369",,,,,,,,,,,,,,,,
DI-t-BUTYL,PEROXIDE,"146,23","0,4031",547,"24,476","0,508","0,277","233,15","384,15","233,15","2,94E-04","0,9203","14,182",,,,,,,,,,,,,,,,
CUMENE,HYDROPEROXIDE,"152,193","0,995",605,"32,963","0,419","0,278","264,26","442,7","264,26","2,33E-08","1,7848","21,4972",,,,,,,,,,,,,,,,
p-MENTHANE,HYDROPEROXIDE,"172,268","0,9007",711,"29,114","0,553","0,276",0,532,0,"0,00E+00",0,"21,0432",,,,,,,,,,,,,,,,
m-DIISOPROPYLBENZENE,HYDROPEROXIDE,"194,274","0,9626",812,"24,278","0,688","0,251",0,620,0,"0,00E+00",0,"22,2142",,,,,,,,,,,,,,,,
p-DIISOPROPYLBENZENE,HYDROPEROXIDE,"194,274","0,9279",810,"24,574","0,669","0,247",0,616,0,"0,00E+00",0,"22,3475",,,,,,,,,,,,,,,,
BENZOYL,PEROXIDE,"242,231","0,9136",884,"25,364","0,701","0,245",378,669,378,"2,40E-06","3,717","21,7898",,,,,,,,,,,,,,,,
DICUMYL,PEROXIDE,"270,371","0,4497",884,"21,515","0,873","0,259","311,15",669,"311,15","2,03E-02",0,"16,8888",,,,,,,,,,,,,,,,
CARBON,TETRACHLORIDE,"153,822","0,1926","556,35","45,004","0,276","0,272","250,33","349,79","250,33","1,11E-02",0,"17,55",,,,,,,,,,,,,,,,
CHLOROFORM,"119,377","0,2219","536,4","54,004","0,239","0,293","209,63","334,33","209,63","6,73E-04","8,05E-02","18,92",,,,,,,,,,,,,,,,,
DICHLOROMETHANE,"84,932","0,1986",510,"60,005","0,185","0,265","178,01","312,9","178,01","5,85E-05","6,44E-02","20,3726",,,,,,,,,,,,,,,,,
METHYL,CHLORIDE,"50,487","0,1531","416,25","65,926","0,143","0,276","175,45","248,93","175,43","8,56E-03","1,8705","19,7197",,,,,,,,,,,,,,,,
TETRACHLOROETHYLENE,"165,833","0,2138",620,"44,313","0,248","0,216","250,8","394,4","250,8","1,15E-03","1,03E-01","18,9562",,,,,,,,,,,,,,,,,
HEXACHLOROETHANE,"236,738","0,2386",695,"32,963","0,412","0,238","459,95",458,"459,95","1,06E+00","1,44E-01","15,7357",,,,,,,,,,,,,,,,,
TRICHLOROETHYLENE,"131,388","0,2166",571,"48,458","0,256","0,265","188,4","360,1","188,4","1,95E-05","9,01E-02","18,7964",,,,,,,,,,,,,,,,,
PENTACHLOROETHANE,"202,293","0,2455",665,"36,319","0,369","0,246","244,15","433,03","244,15","5,93E-05","1,21E-01","18,9825",,,,,,,,,,,,,,,,,
"1,1-DICHLOROETHYLENE","96,943","0,2721",482,"51,221","0,224","0,29","150,59","304,71","150,59","2,21E-06","8,04E-02","17,2802",,,,,,,,,,,,,,,,,
"cis-1,2-DICHLOROETHYLENE","96,943","0,2637",527,"51,221","0,224","0,265","193,15","333,65","193,15","1,30E-04","7,66E-02","19,4759",,,,,,,,,,,,,,,,,
"trans-1,2-DICHLOROETHYLENE","96,943","0,2234","516,5","54,379","0,224","0,287","223,35","320,85","223,35","5,95E-03","7,76E-02","18,5888",,,,,,,,,,,,,,,,,
"1,1,1,2-TETRACHLOROETHANE","167,849","0,2422",624,"39,674","0,325","0,252","202,94","403,65","202,94","3,25E-06","1,10E-01","18,9009",,,,,,,,,,,,,,,,,
"1,1,2,2-TETRACHLOROETHANE","167,849","0,2467",645,"40,365","0,325","0,248","229,35","418,25","229,35","3,14E-05","1,06E-01","19,9531",,,,,,,,,,,,,,,,,
VINYL,CHLORIDE,"62,498","0,1001",432,"55,959","0,179","0,283","119,36","259,25","119,36","1,89E-07","1,4508","17,7662",,,,,,,,,,,,,,,,
"1,1,1-TRICHLOROETHANE","133,404","0,2183",545,"42,438","0,281","0,267","243,1","347,233","243,1","7,38E-03","1,00E-01","17,255",,,,,,,,,,,,,,,,,
"1,1,2-TRICHLOROETHANE","133,404","0,2591",602,"44,214","0,281","0,252","236,5",387,"236,5","4,42E-04","9,30E-02","19,8916",,,,,,,,,,,,,,,,,
"1,1-DICHLOROETHANE","98,959","0,2339",523,"50,037","0,24","0,28","176,19","330,45","176,19","2,19E-05","8,47E-02","18,2956",,,,,,,,,,,,,,,,,
"1,2-DICHLOROETHANE","98,959","0,2866","561,6","52,998","0,22","0,253","237,49","356,594","237,49","2,34E-03","7,94E-02","20,2595",,,,,,,,,,,,,,,,,
ETHYL,CHLORIDE,"64,514","0,1906","460,35","52,011","0,155","0,213","136,75","285,42","134,8","1,15E-06","2,0504","17,7726",,,,,,,,,,,,,,,,
PROPARGYL,CHLORIDE,"74,51","0,1519",541,"52,307","0,211","0,249",0,331,0,"0,00E+00","1,6787","19,317",,,,,,,,,,,,,,,,
"2,3-DICHLOROPROPENE","110,97","0,2061",577,"43,227","0,277","0,253","191,5","365,75","191,5","2,17E-05","9,24E-02","18,5537",,,,,,,,,,,,,,,,,
2-CHLOROPROPENE,"76,525","0,1525",478,"46,484","0,234","0,277","135,75","295,8","135,75","1,28E-06","8,52E-02","16,0213",,,,,,,,,,,,,,,,,
3-CHLOROPROPENE,"76,525","0,1478","514,15","46,484","0,234","0,258","138,65","318,3","138,65","1,32E-07","8,22E-02","18,3539",,,,,,,,,,,,,,,,,
"1,2,3-TRICHLOROPROPANE","147,431","0,3063",652,"38,194","0,334","0,238","258,45",430,"258,45","2,75E-04","1,07E-01","20,1475",,,,,,,,,,,,,,,,,
"1,1-DICHLOROPROPANE","112,986","0,2529",560,"41,846","0,291","0,265",0,"361,25",0,"0,00E+00","1,00E-01","18,1222",,,,,,,,,,,,,,,,,
"1,2-DICHLOROPROPANE","112,986","0,2564",572,"41,846","0,291","0,259","172,71","369,52","172,71","8,15E-07","9,82E-02","18,3972",,,,,,,,,,,,,,,,,
"1,3-DICHLOROPROPANE","112,986","0,2924",603,"40,957","0,291","0,241","173,65","393,55","173,65","4,39E-08","9,57E-02","19,8192",,,,,,,,,,,,,,,,,
ISOPROPYL,CHLORIDE,"78,541","0,1986",489,"44,806","0,247","0,276","155,97","308,85","155,97","8,97E-06","2,1703","16,4085",,,,,,,,,,,,,,,,
n-PROPYL,CHLORIDE,"78,541","0,2277","503,15","45,201","0,247","0,27","150,35","319,67","150,35","6,87E-07","2,0504","17,0774",,,,,,,,,,,,,,,,
"HEXACHLORO-1,3-BUTADIENE","260,76","0,1684",738,"28,029","0,55","0,255","252,15","486,15","252,15","4,12E-06","1,56E-01","18,7555",,,,,,,,,,,,,,,,,
CHLOROPRENE,"88,536","0,1974",525,"42,043","0,273","0,266","143,15","332,55","143,15","7,97E-08","9,31E-02","17,0676",,,,,,,,,,,,,,,,,
"1,3-DICHLORO-trans-2-BUTENE","124,997","0,2418",618,"37,306","0,325","0,239",0,402,0,"0,00E+00","1,08E-01","19,226",,,,,,,,,,,,,,,,,
"1,4-DICHLORO-cis-2-BUTENE","124,997","0,3306",640,"37,306","0,343","0,244","225,15","425,65","225,15","1,09E-05","1,05E-01","20,2746",,,,,,,,,,,,,,,,,
"1,4-DICHLORO-trans-2-BUTENE","124,997","0,3333",646,"37,306","0,33","0,232","274,15","429,261","274,15","8,62E-04","1,05E-01","20,4116",,,,,,,,,,,,,,,,,
"3,4-DICHLORO-1-BUTENE","124,997","0,3002",589,"37,997","0,33","0,259",212,388,212,"3,17E-05","1,09E-01","18,4199",,,,,,,,,,,,,,,,,
"1,2-DICHLOROBUTANE","127,013","0,2988",600,"36,319","0,343","0,253",210,"397,15",210,"1,50E-05","1,14E-01","18,1591",,,,,,,,,,,,,,,,,
"1,4-DICHLOROBUTANE","127,013","0,3221",641,"35,628","0,343","0,232","235,85","427,05","235,85","3,76E-05","1,12E-01","19,5696",,,,,,,,,,,,,,,,,
"2,3-DICHLOROBUTANE","127,013","0,2653",599,"36,911","0,343","0,258","193,15","392,65","193,15","3,01E-06","1,15E-01","17,8052",,,,,,,,,,,,,,,,,
n-BUTYL,CHLORIDE,"92,568","0,274",537,"37,7","0,3","0,257","150,05","351,58","150,05","2,31E-08","2,0498","17,2973",,,,,,,,,,,,,,,,
sec-BUTYL,CHLORIDE,"92,568","0,2909","520,6","38,49","0,3","0,27","141,85","341,25","141,85","3,00E-08","2,0398","16,461",,,,,,,,,,,,,,,,
tert-BUTYL,CHLORIDE,"92,568","0,1944",507,"38,49","0,3","0,278","247,75","323,75","247,75","3,46E-02","2,1298","15,2968",,,,,,,,,,,,,,,,
HEXACHLOROCYCLOPENTADIENE,"272,771","0,3694",746,"29,706","0,526","0,255","284,49","512,15","284,49","2,32E-05","1,60E-01","19,184",,,,,,,,,,,,,,,,,
"1,5-DICHLOROPENTANE","141,04","0,3851",663,"31,483","0,422","0,244","200,35","453,15","200,35","4,16E-08","1,29E-01","19,3221",,,,,,,,,,,,,,,,,
1-CHLOROPENTANE,"106,595","0,3339",568,"33,062","0,352","0,25","174,15","381,54","174,15","2,98E-07","1,21E-01","16,9524",,,,,,,,,,,,,,,,,
HEXACHLOROBENZENE,"284,782","0,4971",825,"28,127","0,526","0,219","501,7","582,55","501,7","1,01E-01","1,65E-01","20,3947",,,,,,,,,,,,,,,,,
"1,2,4-TRICHLOROBENZENE","181,448","0,3581",725,"36,714","0,395","0,244","290,15","486,15","290,15","3,27E-04","1,25E-01","20,6181",,,,,,,,,,,,,,,,,
"1,3,5-TRICHLOROBENZENE","181,448","0,3596",718,"36,714","0,425","0,265","336,65","481,55","336,65","6,43E-03","1,31E-01","18,7061",,,,,,,,,,,,,,,,,
m-DICHLOROBENZENE,"147,003","0,279","683,95","40,168","0,351","0,251","248,39","446,23","248,39","6,32E-05","1,15E-01","19,5744",,,,,,,,,,,,,,,,,
o-DICHLOROBENZENE,"147,003","0,2192",705,"40,168","0,351","0,244","256,15","453,57","256,15","6,40E-05","1,13E-01","20,3107",,,,,,,,,,,,,,,,,
p-DICHLOROBENZENE,"147,003","0,2846","684,75","40,168","0,351","0,251","326,14","447,21","326,14","1,21E-02","1,17E-01","19,3284",,,,,,,,,,,,,,,,,
MONOCHLOROBENZENE,"112,558","0,2499","632,35","44,6","0,308","0,265","227,95","404,87","227,95","8,34E-05","1,02E-01","19,3453",,,,,,,,,,,,,,,,,
BENZOTRICHLORIDE,"195,475","0,2599",737,"32,963","0,447","0,244","268,4","486,65","268,4","6,38E-05","1,43E-01","18,3486",,,,,,,,,,,,,,,,,
BENZYL,DICHLORIDE,"161,03","0,3264",731,"36,023","0,404","0,243",257,487,257,"2,81E-05","2,0294","19,1343",,,,,,,,,,,,,,,,
"2,4-DICHLOROTOLUENE","161,03","0,359",705,"35,431","0,404","0,247","259,65","474,25","259,65","2,36E-05","1,29E-01","19,7936",,,,,,,,,,,,,,,,,
BENZYL,CHLORIDE,"126,585","0,3136",686,"38,589","0,36","0,247","234,15","452,55","234,15","7,08E-06","1,8898","20,1229",,,,,,,,,,,,,,,,
o-CHLOROTOLUENE,"126,585","0,3044",656,"38,589","0,354","0,254","236,65","432,3","236,65","3,18E-05","1,17E-01","19,2003",,,,,,,,,,,,,,,,,
p-CHLOROTOLUENE,"126,585","0,3123",660,"38,589","0,36","0,257","280,65","435,65","280,65","1,08E-03","1,19E-01","19,2877",,,,,,,,,,,,,,,,,
1-CHLORONAPHTHALENE,"162,618","0,3827",785,"33,555","0,434","0,226","269,15","532,45","269,15","1,22E-06","1,39E-01","21,1608",,,,,,,,,,,,,,,,,
TRIBROMOMETHANE,"252,731","0,1561",696,"60,104","0,286","0,301","281,2","422,35","281,2","2,48E-03","8,79E-02","21,73",,,,,,,,,,,,,,,,,
DIBROMOMETHANE,"173,835","0,2094",611,"70,762","0,223","0,315","220,6","370,1","220,6","2,10E-04","7,00E-02","22,344",,,,,,,,,,,,,,,,,
METHYL,BROMIDE,"94,939","0,1922",467,"78,954","0,156","0,321","179,55","276,71","179,47","1,93E-03","1,8106","19,9175",,,,,,,,,,,,,,,,
"1,1,2,2-TETRABROMOETHANE","345,654","0,1466",824,"45,398","0,401","0,269","273,15","516,65","273,15","6,03E-06","1,17E-01","22,5982",,,,,,,,,,,,,,,,,
VINYL,BROMIDE,"106,95","0,2765",473,"70,861","0,2","0,365","135,35","288,95","135,35","2,65E-06","1,4209","17,8069",,,,,,,,,,,,,,,,
"1,1-DIBROMOETHANE","187,862","0,125",628,"59,511","0,276","0,319","210,15","381,15","210,15","2,60E-05","9,19E-02","20,4051",,,,,,,,,,,,,,,,,
"1,2-DIBROMOETHANE","187,862","0,2067","650,15","54,053","0,2616","0,265","282,94","404,51","282,85","7,43E-03","8,66E-02","21,2539",,,,,,,,,,,,,,,,,
BROMOETHANE,"108,966","0,2548","503,8","61,485","0,215","0,32","154,55","311,5","154,55","3,67E-06","7,53E-02","18,3237",,,,,,,,,,,,,,,,,
1-BROMOPROPANE,"122,993","0,2848",544,"53,195","0,266","0,317","163,15","344,15","163,15","1,01E-06","9,14E-02","18,0827",,,,,,,,,,,,,,,,,
2-BROMOPROPANE,"122,993","0,2432",532,"54,379","0,266","0,331","184,15","332,56","184,15","6,96E-05","9,59E-02","17,0677",,,,,,,,,,,,,,,,,
1-BROMOBUTANE,"137,019","0,3226",577,"44,806","0,319","0,302","160,75","374,75","160,75","1,40E-08","1,08E-01","18,4204",,,,,,,,,,,,,,,,,
2-BROMOBUTANE,"137,019","0,2684",567,"45,695","0,32","0,314","161,25","364,37","161,25","9,75E-08","1,09E-01","17,5137",,,,,,,,,,,,,,,,,
m-DIBROMOBENZENE,"235,906","0,2932",761,"45,991","0,372","0,274","266,25","491,15","266,25","2,30E-05","1,21E-01","20,4305",,,,,,,,,,,,,,,,,
BROMOBENZENE,"157,01","0,2506","670,15","44,6","0,324","0,263","242,43","429,236","242,43","7,73E-05","1,06E-01","19,9447",,,,,,,,,,,,,,,,,
p-BROMOTOLUENE,"171,037","0,3179",699,"43,129","0,379","0,285","299,95","457,5","299,95","2,01E-03","1,22E-01","19,3341",,,,,,,,,,,,,,,,,
1-BROMOHEPTANE,"179,1","0,4435",651,"30,397","0,477","0,271","217,05","452,05","217,05","5,05E-07","1,58E-01","17,3545",,,,,,,,,,,,,,,,,
1-BROMONAPHTHALENE,"207,07","0,3692",824,"36,516","0,453","0,245","279,35","554,25","279,35","2,14E-06","1,40E-01","21,2307",,,,,,,,,,,,,,,,,
DIIODOMETHANE,"267,836","0,1405",747,"53,985","0,272","0,24","279,25","455,15","279,25","3,88E-04","8,10E-02","24,0551",,,,,,,,,,,,,,,,,
