Name,Mw,Omega,Tc,Pc,Vc,Zc,Tm,Tb,Ttr,Ptr,Vliq,SolPar,,,,,,,,,,,,,,,,,
"2,4-DIMETHYLHEXANE","114,231","0,3436","553,5","25,265","0,472","0,263",0,"382,58",0,"0,00E+00","1,65E-01","14,6507",,,,,,,,,,,,,,,,,
"2,5-DIMETHYLHEXANE","114,231","0,3576",550,"24,574","0,482","0,262",182,"382,26",182,"6,75E-07","1,66E-01","14,7414",,,,,,,,,,,,,,,,,
"3,3-DIMETHYLHEXANE","114,231","0,3202",562,"26,153","0,4428","0,251","147,05","385,12","147,05","4,67E-10","1,62E-01","14,8827",,,,,,,,,,,,,,,,,
"3,4-DIMETHYLHEXANE","114,231","0,3381","568,8","26,548","0,4662","0,265",0,"390,88",0,"0,00E+00","1,59E-01","15,1356",,,,,,,,,,,,,,,,,
"2,2-DIMETHYLHEPTANE","128,258","0,3899","576,8","23,193","0,519","0,254","160,15","405,84","160,15","5,11E-10","1,82E-01","14,8527",,,,,,,,,,,,,,,,,
"2,6-DIMETHYLHEPTANE","128,258","0,3927",579,"22,699","0,52","0,248","170,25","408,36","170,25","5,22E-09","1,82E-01","14,9905",,,,,,,,,,,,,,,,,
"2,2-DIMETHYLOCTANE","142,285","0,4288",602,"21,318","0,574","0,248",0,"430,05",0,"0,00E+00","1,97E-01","14,8676",,,,,,,,,,,,,,,,,
"2,3-DIMETHYLOCTANE","142,285","0,4327",613,"21,811","0,575","0,249",190,"437,46",190,"1,67E-08","1,94E-01","15,3265",,,,,,,,,,,,,,,,,
"2,4-DIMETHYLOCTANE","142,285","0,4345",600,"21,416","0,575","0,25",190,"429,05",190,"4,31E-08","1,97E-01","15,0095",,,,,,,,,,,,,,,,,
"2,5-DIMETHYLOCTANE","142,285","0,4403",603,"21,416","0,575","0,249","188,65","431,65","188,65","2,70E-08","1,96E-01","15,1302",,,,,,,,,,,,,,,,,
"2,6-DIMETHYLOCTANE","142,285","0,4386",606,"21,416","0,575","0,248",220,"433,53",220,"3,55E-06","1,97E-01","15,0217",,,,,,,,,,,,,,,,,
"2,7-DIMETHYLOCTANE","142,285","0,442",604,"21,021","0,575","0,244","219,15","433,02","219,15","2,65E-06","1,98E-01","15,0616",,,,,,,,,,,,,,,,,
3-ETHYLPENTANE,"100,204","0,3094","540,64","28,53","0,416","0,268","154,55","366,62","154,55","3,13E-08","1,44E-01","15,044",,,,,,,,,,,,,,,,,
"2,2,3-TRIMETHYLBUTANE","100,204","0,2504","531,17","29,15","0,398","0,266","248,57","354,03","248,57","9,01E-03","1,46E-01","14,2466",,,,,,,,,,,,,,,,,
3-ETHYLHEXANE,"114,231","0,3628","565,4","25,759","0,4551","0,253",0,"391,69",0,"0,00E+00","1,61E-01","15,2023",,,,,,,,,,,,,,,,,
2-METHYL-3-ETHYLPENTANE,"114,231","0,3294",567,"26,647","0,4428","0,254","158,2","388,8","158,2","4,41E-09","1,59E-01","15,1742",,,,,,,,,,,,,,,,,
3-METHYL-3-ETHYLPENTANE,"114,231","0,305","576,5","27,733","0,4551","0,267","182,28","391,42","182,28","6,17E-07","1,58E-01","15,0569",,,,,,,,,,,,,,,,,
"2,2,3,3-TETRAMETHYLBUTANE","114,231","0,245",568,"28,325","0,461","0,28","373,96","379,44","373,96","8,58E-01","1,75E-01","12,7909",,,,,,,,,,,,,,,,,
"2,2,3-TRIMETHYLPENTANE","114,231","0,2971","563,5","26,943","0,436","0,254","160,89","382,995","160,89","2,15E-08","1,60E-01","14,6909",,,,,,,,,,,,,,,,,
"2,2,4-TRIMETHYLPENTANE","114,231","0,3022","543,96","25,344","0,468","0,266","165,777","372,388","165,777","1,60E-07","1,65E-01","14,0823",,,,,,,,,,,,,,,,,
"2,3,3-TRIMETHYLPENTANE","114,231","0,2903","573,5","27,831","0,4551","0,269","172,22","387,92","172,22","1,66E-07","1,58E-01","14,9195",,,,,,,,,,,,,,,,,
"2,3,4-TRIMETHYLPENTANE","114,231","0,3161","566,3","26,943","0,4606","0,267","163,95","386,62","163,95","3,00E-08","1,60E-01","14,9343",,,,,,,,,,,,,,,,,
"3,3-DIETHYLPENTANE","128,258","0,3381","610,05","26,4","0,473","0,249","240,12","419,34","240,12","1,36E-04","1,71E-01","15,2241",,,,,,,,,,,,,,,,,
"2,2-DIMETHYL-3-ETHYLPENTANE","128,258","0,3353",590,"25,364","0,511","0,268","173,68","406,99","173,68","3,90E-08","1,75E-01","14,8318",,,,,,,,,,,,,,,,,
"2,4-DIMETHYL-3-ETHYLPENTANE","128,258","0,353",591,"24,969","0,512","0,264","150,79","409,87","150,79","1,72E-10","1,75E-01","14,9712",,,,,,,,,,,,,,,,,
3-ETHYLHEPTANE,"128,258","0,408",590,"23,587","0,528","0,257","158,25","416,35","158,25","2,74E-10","1,78E-01","15,2978",,,,,,,,,,,,,,,,,
"2,2,3,3-TETRAMETHYLPENTANE","128,258","0,28","610,85",27,"0,478","0,257","263,26","413,44","263,26","1,28E-03","1,70E-01","15,108",,,,,,,,,,,,,,,,,
"2,2,3,4-TETRAMETHYLPENTANE","128,258","0,3106","592,15","25,3","0,49","0,255","152,06","406,18","152,06","2,00E-10","1,74E-01","14,9283",,,,,,,,,,,,,,,,,
"2,2,4,4-TETRAMETHYLPENTANE","128,258","0,3159","571,35","23,3","0,504","0,25","206,95","395,44","206,95","1,76E-05","1,79E-01","14,1634",,,,,,,,,,,,,,,,,
"2,3,3,4-TETRAMETHYLPENTANE","128,258","0,3127","607,7","26,805","0,493","0,265","171,03","414,7","171,03","1,68E-08","1,71E-01","15,0994",,,,,,,,,,,,,,,,,
"2,2,5-TRIMETHYLHEXANE","128,258","0,3596","568,05","22,995","0,519","0,256","167,39","397,24","167,39","8,76E-09","1,82E-01","14,3776",,,,,,,,,,,,,,,,,
"2,4,4-TRIMETHYLHEXANE","128,258","0,3522",581,"24,278","0,511","0,26","159,78","403,81","159,78","3,03E-09","1,78E-01","14,5918",,,,,,,,,,,,,,,,,
CYCLOPROPANE,"42,081","0,1269","397,91","54,231","0,1628","0,27","145,59","240,37","145,59","7,26E-04","6,99E-02","14,372",,,,,,,,,,,,,,,,,
CYCLOBUTANE,"56,108","0,1847","459,93","49,149","0,21","0,273","182,48","285,66","182,48","1,78E-03","8,14E-02","16,023",,,,,,,,,,,,,,,,,
CYCLOPENTANE,"70,134","0,1959","511,76","44,431","0,258","0,273","179,311","322,4","179,28","9,32E-05","9,46E-02","16,5452",,,,,,,,,,,,,,,,,
CYCLOHEXANE,"84,161","0,2096","553,58","40,197","0,308","0,273","279,69","353,87","279,69","5,31E-02","1,09E-01","16,7573",,,,,,,,,,,,,,,,,
CYCLOHEPTANE,"98,188","0,243","604,3","37,9","0,359","0,274","265,15","391,94","265,12","3,80E-03","1,22E-01","17,2137",,,,,,,,,,,,,,,,,
CYCLOOCTANE,"112,215","0,2904",640,"34,345","0,396","0,259","287,98","423,84","287,98","3,98E-03","1,35E-01","17,3733",,,,,,,,,,,,,,,,,
METHYLCYCLOPENTANE,"84,161","0,2302","532,79","37,355","0,319","0,273","130,73","344,96","130,73","6,62E-10","1,13E-01","16,1019",,,,,,,,,,,,,,,,,
"1,1-DIMETHYLCYCLOPENTANE","98,188","0,2724",547,"33,999","0,36","0,273","203,36",361,"203,36","8,93E-05","1,31E-01","15,4572",,,,,,,,,,,,,,,,,
"cis-1,2-DIMETHYLCYCLOPENTANE","98,188","0,2662","565,15",34,"0,37","0,271","219,26","372,68","219,26","2,38E-04","1,28E-01","16,1644",,,,,,,,,,,,,,,,,
"trans-1,2-DIMETHYLCYCLOPENTANE","98,188","0,2698","553,15",34,"0,36","0,27","155,58","365,02","155,58","3,25E-08","1,31E-01","15,7604",,,,,,,,,,,,,,,,,
"cis 1,3-DIMETHYLCYCLOPENTANE","98,188","0,2743",551,"33,999","0,36","0,271","139,45","363,92","139,45","1,70E-09",0,"15,4906",,,,,,,,,,,,,,,,,
"trans 1,3-DIMETHYLCYCLOPENTANE","98,188","0,2699",553,"33,999","0,36","0,27","139,18","364,88","139,18","4,32E-10",0,"15,6624",,,,,,,,,,,,,,,,,
ETHYLCYCLOPENTANE,"98,188","0,2716","569,52","33,536","0,375","0,269","134,71","376,62","134,71","3,66E-11","1,29E-01","16,252",,,,,,,,,,,,,,,,,
